time,q,r,r_0,omega,omega_0,h22_real,h22_imag,phi
-2774.999999991256,1.8,13.908486229101475,15.577137628831402,0.01927854973636567,0.016265233663282044,-0.042556196942151854,0.08865021930019333,30.40674962903942
-2771.2999999912427,1.8,13.90439547989168,15.577137628831402,0.019287058373156363,0.016265233663282044,-0.029510659900566512,0.09378152385265578,30.478096004853846
-2767.499999991229,1.8,13.900194166819029,15.577137628831402,0.019295803496071073,0.016265233663282044,-0.015489616859668834,0.09706230123942929,30.551403429156
-2763.7999999912154,1.8,13.896099282616706,15.577137628831402,0.019304333446290123,0.016265233663282044,-0.0015160963892981397,0.09825236695746678,30.62281366738118
-2760.099999991202,1.8,13.891999070030993,15.577137628831402,0.019312880794408738,0.016265233663282044,0.012486748451781774,0.09743936558348265,30.694255496659064
-2756.299999991188,1.8,13.88778148603982,15.577137628831402,0.01932167939888263,0.016265233663282044,0.02659840841755571,0.09453654060971123,30.767661140560097
-2752.5999999911746,1.8,13.883667386122255,15.577137628831402,0.01933026855637099,0.016265233663282044,0.039789461989126404,0.08975512620743853,30.83916722280486
-2748.899999991161,1.8,13.879544589192612,15.577137628831402,0.019338882256378476,0.016265233663282044,0.05216702455463174,0.08314237105388299,30.910705127877765
-2745.0999999911473,1.8,13.875300208055139,15.577137628831402,0.019347756665256455,0.016265233663282044,0.06376737507767341,0.07458580021304764,30.98420971404941
-2741.399999991134,1.8,13.87115458450026,15.577137628831402,0.019356431139712527,0.016265233663282044,0.07374434247545503,0.06470857793485234,31.055812425660825
-2737.6999999911204,1.8,13.866981466637554,15.577137628831402,0.01936516969264801,0.016265233663282044,0.08221504387670477,0.05350801510108702,31.1274473044838
-2733.999999991107,1.8,13.862763692025963,15.577137628831402,0.019374008440058432,0.016265233663282044,0.0890062035999565,0.04121113965580151,31.199114681386945
-2730.199999991093,1.8,13.858380517411282,15.577137628831402,0.01938320092523682,0.016265233663282044,0.09408644209791299,0.02770265145084736,31.272753269226982
-2726.4999999910797,1.8,13.854061900752871,15.577137628831402,0.019392265129561714,0.016265233663282044,0.09708364391407259,0.013966235459970736,31.34448777546269
